label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.738154,0.635183,-0.0,0.69679,0.597532,-0.011712,0.663632,0.529317,-0.014208,0.645191,0.476848,-0.017505,0.624671,0.458024,-0.018078,0.682748,0.471296,0.003171,0.69505,0.433761,-0.016883,0.699892,0.49063,-0.027524,0.700014,0.527262,-0.030869,0.710331,0.471183,0.001994,0.722163,0.43601,-0.02222,0.723219,0.506288,-0.028389,0.720388,0.543088,-0.026038,0.735679,0.476357,-0.002881,0.7479,0.446772,-0.027153,0.743965,0.513157,-0.023157,0.737803,0.550686,-0.012882,0.758786,0.486844,-0.008445,0.767227,0.452967,-0.021823,0.763025,0.49928,-0.016181,0.755504,0.528504,-0.007523
A,0.729219,0.631757,-0.0,0.687274,0.598066,-0.010355,0.6526,0.531482,-0.012607,0.63246,0.480109,-0.015883,0.611393,0.460925,-0.017258,0.669485,0.475149,0.002263,0.676916,0.436495,-0.016582,0.681719,0.486853,-0.027933,0.683378,0.524432,-0.03223,0.697455,0.471616,0.000751,0.705835,0.437207,-0.021094,0.708769,0.503653,-0.027601,0.708683,0.545821,-0.026032,0.72373,0.472625,-0.004042,0.732509,0.445173,-0.025894,0.729953,0.508598,-0.023183,0.725705,0.551008,-0.014467,0.748285,0.478793,-0.009463,0.753614,0.448425,-0.021732,0.749647,0.4941,-0.016791,0.743521,0.527103,-0.00899
A,0.728822,0.633323,-0.0,0.687153,0.598036,-0.010082,0.65263,0.531953,-0.012249,0.63248,0.481145,-0.015546,0.611327,0.461604,-0.016995,0.66918,0.476721,0.003512,0.676509,0.437808,-0.015193,0.682051,0.4861,-0.026899,0.684012,0.523895,-0.031373,0.697248,0.472373,0.002055,0.705244,0.438089,-0.019603,0.709157,0.502963,-0.026484,0.709591,0.546067,-0.025081,0.723686,0.47285,-0.002703,0.731884,0.445229,-0.024209,0.730076,0.507052,-0.021799,0.726066,0.550035,-0.013243,0.748122,0.478549,-0.008091,0.75291,0.448051,-0.01998,0.748819,0.493077,-0.015053,0.742545,0.526415,-0.007266
A,0.730738,0.630866,-0.0,0.686755,0.596373,-0.01124,0.651557,0.529876,-0.013288,0.631406,0.478131,-0.016184,0.610623,0.459196,-0.016811,0.668285,0.473576,0.003098,0.678415,0.43339,-0.015915,0.683567,0.486541,-0.02675,0.684152,0.522095,-0.030594,0.69648,0.470826,0.002089,0.705545,0.432488,-0.020444,0.709023,0.501137,-0.026677,0.708707,0.539893,-0.024545,0.722771,0.47206,-0.002412,0.732185,0.440067,-0.02543,0.730332,0.506209,-0.022153,0.726183,0.546915,-0.012519,0.747345,0.478441,-0.007573,0.753427,0.4447,-0.020403,0.749318,0.491756,-0.015209,0.74254,0.52443,-0.007011
A,0.730216,0.629548,-0.0,0.687019,0.600526,-0.010872,0.650863,0.531122,-0.012574,0.630689,0.476499,-0.015268,0.609643,0.45779,-0.015922,0.668586,0.471878,0.003408,0.676174,0.433389,-0.01627,0.681937,0.487939,-0.027453,0.684044,0.524904,-0.031328,0.696265,0.469203,0.001899,0.705499,0.434376,-0.021445,0.707769,0.504207,-0.028147,0.705882,0.543367,-0.026175,0.722029,0.470526,-0.003146,0.731342,0.443906,-0.026676,0.728657,0.51066,-0.023666,0.723457,0.549027,-0.014211,0.746126,0.47607,-0.008795,0.751983,0.445523,-0.021513,0.748405,0.493721,-0.015928,0.741824,0.524437,-0.007448
A,0.731656,0.630807,-0.0,0.688029,0.598768,-0.010009,0.651445,0.528843,-0.011722,0.630717,0.475093,-0.014641,0.608885,0.457529,-0.015751,0.666978,0.47132,0.003707,0.676486,0.431043,-0.014955,0.682836,0.483708,-0.026254,0.683998,0.522014,-0.030515,0.694816,0.467202,0.002025,0.704495,0.432252,-0.020283,0.708636,0.500625,-0.027115,0.7082,0.543974,-0.025455,0.721283,0.467466,-0.002949,0.730561,0.439503,-0.02502,0.729186,0.504861,-0.022272,0.725039,0.548055,-0.013287,0.746176,0.472375,-0.008509,0.751358,0.4411,-0.020504,0.748237,0.488596,-0.015146,0.74206,0.522372,-0.006973
A,0.73092,0.630148,-0.0,0.686557,0.595439,-0.010149,0.649856,0.525578,-0.011498,0.629058,0.473188,-0.014002,0.607521,0.456878,-0.014618,0.666033,0.469926,0.004501,0.675996,0.430673,-0.013316,0.682821,0.481716,-0.024029,0.683738,0.517829,-0.028084,0.694266,0.465793,0.003051,0.704618,0.432573,-0.018453,0.709032,0.500253,-0.025152,0.707583,0.542246,-0.023704,0.720838,0.466141,-0.001702,0.731131,0.437128,-0.023646,0.729819,0.502657,-0.02127,0.724659,0.546466,-0.012633,0.745699,0.471677,-0.007009,0.751534,0.439768,-0.019493,0.74876,0.48651,-0.014661,0.742385,0.520678,-0.006792
A,0.727299,0.631874,-0.0,0.684123,0.596196,-0.00921,0.649396,0.527664,-0.010362,0.629519,0.476609,-0.013,0.608067,0.458954,-0.013903,0.667468,0.471136,0.006525,0.676284,0.432846,-0.01234,0.681119,0.484643,-0.02409,0.681955,0.52288,-0.028484,0.695311,0.46744,0.004561,0.704253,0.433532,-0.017949,0.707207,0.50256,-0.025411,0.706105,0.545187,-0.024023,0.721589,0.468113,-0.000824,0.729988,0.440591,-0.023306,0.72776,0.506826,-0.021074,0.722769,0.549098,-0.0122,0.746408,0.473859,-0.006691,0.750413,0.443002,-0.018818,0.747273,0.490161,-0.013489,0.741422,0.522549,-0.005162
A,0.727539,0.632492,-0.0,0.684088,0.594807,-0.009099,0.64911,0.527105,-0.010238,0.628962,0.476177,-0.012759,0.607814,0.45878,-0.013506,0.667205,0.468672,0.006428,0.674551,0.433078,-0.011332,0.681458,0.482617,-0.022585,0.684099,0.519853,-0.026833,0.694999,0.464927,0.004688,0.702887,0.434276,-0.016325,0.70762,0.50174,-0.022987,0.708107,0.543719,-0.021305,0.721202,0.466906,-0.000423,0.729283,0.442841,-0.021662,0.727811,0.506787,-0.019235,0.723877,0.54797,-0.010521,0.74556,0.474603,-0.006077,0.750683,0.444528,-0.017552,0.746391,0.490767,-0.012314,0.73988,0.522966,-0.004255
A,0.728633,0.63051,-0.0,0.685336,0.596852,-0.010714,0.649156,0.528494,-0.012493,0.628144,0.476172,-0.015271,0.606677,0.457455,-0.016115,0.666119,0.471041,0.003454,0.674388,0.43187,-0.015171,0.67977,0.484761,-0.026127,0.681411,0.522227,-0.030122,0.694145,0.467316,0.002288,0.702498,0.431748,-0.020229,0.705988,0.499887,-0.02707,0.705605,0.540842,-0.02537,0.720486,0.468085,-0.002208,0.729381,0.440341,-0.024912,0.727176,0.50574,-0.022265,0.722493,0.546746,-0.013252,0.744893,0.473621,-0.007289,0.750199,0.444159,-0.019953,0.74647,0.492223,-0.01494,0.739972,0.524409,-0.006961
